Player,Season,Team,S/C,Pos,GP,G,A,P,+/-,PIM,P/GP,EVG,EVP,PPG,PPP,SHG,SHP,OTG,GWG,S,S%,TOI/GP,FOW%
Blake Lizotte,20242025,PIT,L,C,59,11,9,20,-4,26,0.34,9,18,1,1,1,1,0,1,51,21.6,12:43,51
Gage Goncalves,20242025,TBL,L,C,60,8,12,20,7,14,0.33,7,18,1,2,0,0,0,1,61,13.1,12:48,50
Nikolai Kovalenko,20242025,"COL,SJS",L,R,57,7,13,20,-9,16,0.35,4,16,3,4,0,0,0,0,45,15.6,12:20,22.2
Jamie Drysdale,20242025,PHI,R,D,70,7,13,20,-32,22,0.29,5,13,2,7,0,0,0,1,63,11.1,19:55,--
Olen Zellweger,20242025,ANA,L,D,62,7,13,20,1,20,0.32,6,15,1,5,0,0,0,0,130,5.4,18:58,--
Sam Carrick,20242025,NYR,R,C,80,6,14,20,5,58,0.25,5,17,0,0,1,3,1,2,84,7.1,11:56,54.2
Joel Edmundson,20242025,LAK,L,D,73,6,14,20,25,22,0.27,6,19,0,1,0,0,0,1,91,6.6,20:35,--
Oskar Sundqvist,20242025,STL,R,C,67,6,14,20,-6,32,0.3,2,13,4,7,0,0,0,0,60,10,13:12,45.5
Mathew Barzal,20242025,NYI,R,C,30,6,14,20,10,4,0.67,5,16,1,4,0,0,0,1,78,7.7,20:21,42.3
Dylan Samberg,20242025,WPG,L,D,60,6,14,20,34,26,0.33,6,19,0,1,0,0,1,2,95,6.3,21:08,--
Brayden McNabb,20242025,VGK,L,D,82,5,15,20,42,32,0.24,4,18,0,0,1,2,0,0,97,5.2,20:07,--
Jonas Brodin,20242025,MIN,L,D,50,4,16,20,10,18,0.4,4,19,0,0,0,1,0,1,71,5.6,22:57,--
Alexander Romanov,20242025,NYI,L,D,64,4,16,20,5,20,0.31,4,19,0,0,0,1,0,0,100,4,22:18,--
Nick Seeler,20242025,PHI,L,D,77,3,17,20,10,36,0.26,3,20,0,0,0,0,0,1,82,3.7,17:17,--
Kevin Bahl,20242025,CGY,L,D,73,3,17,20,-6,35,0.27,2,19,1,1,0,0,0,0,82,3.7,21:23,--
Jonny Brodzinski,20242025,NYR,R,C,51,12,7,19,6,4,0.37,12,19,0,0,0,0,0,2,73,16.4,11:41,47.7
Nick Bjugstad,20242025,UTA,R,C,66,8,11,19,-2,16,0.29,7,18,1,1,0,0,0,0,115,7,12:19,47.4
Steven Lorentz,20242025,TOR,L,C,80,8,11,19,6,9,0.24,7,18,0,0,1,1,0,5,76,10.5,10:33,36.4
Parker Kelly,20242025,COL,L,C,80,8,11,19,-1,29,0.24,7,17,0,0,1,2,0,2,99,8.1,12:45,43
Boone Jenner,20242025,CBJ,L,C,26,7,12,19,3,4,0.73,4,15,2,3,1,1,0,1,70,10,17:59,51.2
Michael Carcone,20242025,UTA,L,L,53,7,12,19,-7,36,0.36,7,17,0,2,0,0,0,0,75,9.3,11:26,50
Pontus Holmberg,20242025,TOR,L,R,68,7,12,19,4,27,0.28,6,17,0,1,1,1,0,0,68,10.3,12:40,48.8
